"peer_type","peer_id","title","is_group","is_channel","is_user","unread_count"
"user","7506187561","×،×§×،","False","False","True","1"
"user","409790239","(no title)","False","False","True","1"
"user","7221324716","(no title)","False","False","True","1"
"channel","1406874285","ًںچ”×ھ×¤×¨×™×ک â€¢ ×”×¤×¨×—×™×‌ ×©×œ ×‘×™×œ×‘×™ ًں‘©ًںڈ»â€چًں¦°","False","True","False","282"
"user","7418951127","(no title)","False","False","True","1"
"user","7216241488","(no title)","False","False","True","1"
"user","7243923530","×¤×•×¨×¥","False","False","True","1"
"user","5706115093","(no title)","False","False","True","14"
"user","7515854955","ذ®ر€ذ° ذ،","False","False","True","1"
"user","5839253260","Maya","False","False","True","6"
"user","5265807494","×”×™×”×œ×•×‍×ں ًں’ژâœŒï¸ڈ ×œ×§×•×—×•×ھ ×§×‘×•×¢×™×‌ âœŒï¸ڈ","False","False","True","0"
"user","7210669386","×¢×•×‍×¨×™","False","False","True","1"
"user","6530694939","×™×•×گ×œ","False","False","True","1"
"user","7499841978","×گ×،×£ ×‘×™×ھ","False","False","True","1"
"user","7447359622","(no title)","False","False","True","1"
"user","6742446057","×گ×™×™×œ","False","False","True","1"
"user","74376339","Manybot","False","False","True","0"
"user","2130926262","(no title)","False","False","True","21"
"user","7089338369","×گ×“×‍×•×œ×™×§","False","False","True","1"
"user","6634116446","(no title)","False","False","True","2"
"user","6646027531","×¢","False","False","True","1"
"user","424000","Volunteer Support","False","False","True","0"
"user","6811541931","×گ×ھ×™ ×گ×،×•×œ×™×ں","False","False","True","1"
"user","5325908415","Tutorial","False","False","True","0"
"user","7477764778","×œ×™×‍×•×¨ ×§.","False","False","True","1"
"user","7456719889","×گ×¤× ×ں ًںŒˆ","False","False","True","1"
"user","5696708521","Profit CryptoTrades Bot ًں¤–","False","False","True","0"
"user","166035794","GameBot","False","False","True","0"
"user","6900062566","×گ×œ×™× ×”","False","False","True","1"
"user","6904253020","(no title)","False","False","True","1"
"user","5238689720","Faisal_shaikhâ‌¤ï¸ڈâ€چًں”¥","False","False","True","0"
"user","117054132","Merchant","False","False","True","0"
"user","337704241","Shop Bot","False","False","True","0"
"user","1877036958","Smart Glocal test","False","False","True","0"
"user","5322214758","(no title)","False","False","True","0"
"channel","2177949578","×گ×•×”×œ ×گ×•×،×™×£ ×”×©×§×¢×•×ھ","False","True","False","0"
"user","5249057655","BillLineDev payments","False","False","True","0"
"user","7393668890","×œ×•×“×‍×™×œ×”","False","False","True","1"
"user","6962454549","× ×™× ×”","False","False","True","1"
"user","7018368922","Hamster Kombat","False","False","True","0"
"user","6101007413","Community","False","False","True","0"
"user","6704011196","OctoBits BOT Trade","False","False","True","0"
"user","7497393176","×‘×œ","False","False","True","1"
"user","7444517223","(no title)","False","False","True","1"
"user","6975069172","(no title)","False","False","True","1"
"user","7002370094","×گ×“×‌","False","False","True","1"
"user","6877540242","(no title)","False","False","True","1"
"user","6862663337","×گ×¨×™×گ×œ ×‘×“","False","False","True","1"
"user","7168909069","(no title)","False","False","True","1"
"user","7144308752","×™×•× ×ھ×ں","False","False","True","1"
"user","6200550520","×¢×•×“×“ ًںŒ¹ًںڑ€ًں‘¼","False","False","True","1"
"user","6524415898","×گ×™×œ× ×™×ھ ×“×•×“","False","False","True","1"
"user","1321916953","(no title)","False","False","True","0"
"user","1265422187","Marvelâ€¢MarjiuanaMenâ„¢","False","False","True","0"
"user","7094667354","×‘×ھ×™×”","False","False","True","1"
"user","7199392942","Sarah Goldberg ×¨×•×‘","False","False","True","1"
"user","7110526906","×گ×‘×¨×”×‌","False","False","True","1"
"user","7107349342","(no title)","False","False","True","1"
"user","6789821490","(no title)","False","False","True","1"
"user","6888024653","×گ×™×ھ×‍×¨","False","False","True","1"
"user","7117120855","×¨×–","False","False","True","1"
"user","7072795731","×¨×•×ھ×™","False","False","True","1"
"user","6328678290","×§×¨×ں","False","False","True","1"
"user","7112300613","×”×™×œ×”","False","False","True","1"
"user","7132500510","×¢×‍×™×ھ×™","False","False","True","1"
"user","6621290884","(no title)","False","False","True","1"
"user","6878013507","(no title)","False","False","True","1"
"user","7105863039","×ک×•×‘×” ×’×¨×™×ں ×œ×•×™","False","False","True","1"
"user","6325583049","(no title)","False","False","True","1"
"user","7046295623","×گ×™×œ× ×”","False","False","True","1"
"user","6355405824","(no title)","False","False","True","1"
"user","7196608939","× ×’×”","False","False","True","1"
"user","7006843873","×¨×‌","False","False","True","1"
"user","7183044683","×گ×—×‍×“ ×©×œ×‘×™ ×©×¢×¨ ×¤×ھ×— ×ھ×§×•×•×”","False","False","True","1"
"user","6478410121","(no title)","False","False","True","1"
"user","6853083430","×،×ھ×™×• ×گ×•. ×¨×‘×ں","False","False","True","1"
"user","7069842145","(no title)","False","False","True","1"
"user","7186420012","(no title)","False","False","True","1"
"user","7091972732","×ک×œ×™","False","False","True","1"
"user","5157343022","DR.DRE","False","False","True","1"
"user","1255782109","(no title)","False","False","True","0"
"user","6787639017","(no title)","False","False","True","1"
"user","6844223761","(no title)","False","False","True","1"
"user","6955994227","×¢×™×“×ں ًں–ٹï¸ڈ","False","False","True","1"
"user","6388874065","(no title)","False","False","True","1"
"user","6040058888","(no title)","False","False","True","1"
"user","6754974033","×‘×ں","False","False","True","1"
"user","6865702430","×گ×¨×–","False","False","True","1"
"user","6736646008","×¨×•×¢×™","False","False","True","1"
"user","6548253659","×‘×™''×، ×گ4","False","False","True","1"
"user","6505345853","×ک×œ ًں¦‹","False","False","True","1"
"user","1762473671","× ×œ×™","False","False","True","0"
"user","6701371619","(no title)","False","False","True","1"
"user","6495870370","×‘× ×™×‍×™×ں ×،×¤×¨","False","False","True","1"
